Name	Sex	Birth	Games	Sport	Event	Status	Team	Pos	Medal	Nat
Jean-François Blanchy	Male	1886	1912 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Jean-François Blanchy	Male	1886	1912 Summer Olympics	Tennis	Doubles, Men	Olympic	Jean Montariol	DNS		France
Jean-François Blanchy	Male	1886	1920 Summer Olympics	Tennis	Singles, Men	Olympic		=32		France
Jean-François Blanchy	Male	1886	1920 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Jeanne Vaussard	=8		France
Jean-François Blanchy	Male	1886	1920 Summer Olympics	Tennis	Doubles, Men	Olympic	Jacques Brugnon	4		France
Arnaud Boetsch	Male	1969	1996 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Arnaud Boetsch	Male	1969	1996 Summer Olympics	Tennis	Doubles, Men	Olympic	Guillaume Raoux	=17		France
Jean Borotra	Male	1898	1924 Summer Olympics	Tennis	Singles, Men	Olympic		4		France
Jean Borotra	Male	1898	1924 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Marguerite Billout	=15		France
Jean Borotra	Male	1898	1924 Summer Olympics	Tennis	Doubles, Men	Olympic	René Lacoste	3	Bronze	France
Jacques Brugnon	Male	1895	1920 Summer Olympics	Tennis	Singles, Men	Olympic		=9		France
Jacques Brugnon	Male	1895	1920 Summer Olympics	Tennis	Doubles, Men	Olympic	Jean-François Blanchy	4		France
Jacques Brugnon	Male	1895	1924 Summer Olympics	Tennis	Doubles, Men	Olympic	Henri Cochet	2	Silver	France
Albert Canet	Male	1878	1912 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Albert Canet	Male	1878	1912 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Marguerite Broquedis	3	Bronze	France
Albert Canet	Male	1878	1912 Summer Olympics	Tennis	Doubles, Men	Olympic	Édouard Mény de Marangue	3	Bronze	France
Nicolas Chatelain	Male	1970	1992 Summer Olympics	Table Tennis	Singles, Men	Olympic		=33		France
Nicolas Chatelain	Male	1970	1992 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Patrick Chila	=17		France
Patrick Chila	Male	1969	1992 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Nicolas Chatelain	=17		France
Patrick Chila	Male	1969	1996 Summer Olympics	Table Tennis	Singles, Men	Olympic		=9		France
Patrick Chila	Male	1969	1996 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Christophe Legoût	=9		France
Patrick Chila	Male	1969	2000 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Jean-Philippe Gatien	3	Bronze	France
Patrick Chila	Male	1969	2004 Summer Olympics	Table Tennis	Singles, Men	Olympic		=17		France
Patrick Chila	Male	1969	2008 Summer Olympics	Table Tennis	Singles, Men	Olympic		=49		France
Henri Cochet	Male	1901	1924 Summer Olympics	Tennis	Singles, Men	Olympic		2	Silver	France
Henri Cochet	Male	1901	1924 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Suzanne Lenglen	DNS		France
Henri Cochet	Male	1901	1924 Summer Olympics	Tennis	Doubles, Men	Olympic	Jacques Brugnon	2	Silver	France
Marcel Cousin	Male	1896	1924 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Guy de la Chapelle	Male	1868	1900 Summer Olympics	Tennis	Doubles, Men	Olympic	André Prévost	=3	Bronze	France
