Name	Sex	Birth	Games	Sport	Event	Status	Team	Pos	Medal	Nat
Carl-Georg Andersson	Male	1885	1912 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC r4/8		Sweden
Frank Andersson	Male	1956	1976 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		5		Sweden
Frank Andersson	Male	1956	1976 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		7		Sweden
Frank Andersson	Male	1956	1980 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		4		Sweden
Frank Andersson	Male	1956	1980 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		AC		Sweden
Frank Andersson	Male	1956	1984 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Frank Andersson	Male	1956	1984 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		AC		Sweden
Gösta Andersson	Male	1917	1948 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Gösta Andersson	Male	1917	1952 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Johan Andersson	Male	1889	1912 Summer Olympics	Wrestling	Middleweight B, Greco-Roman, Men	Olympic		AC r4/7		Sweden
Kent Andersson	Male	1959	1980 Summer Olympics	Wrestling	Light-Flyweight, Greco-Roman, Men	Olympic		AC		Sweden
Kent Andersson	Male	1959	1984 Summer Olympics	Wrestling	Light-Flyweight, Greco-Roman, Men	Olympic		5		Sweden
Kent Andersson	Male	1959	1984 Summer Olympics	Wrestling	Light-Flyweight, Freestyle, Men	Olympic		6		Sweden
Leif Andersson	Male	1949	1976 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		4		Sweden
Leif Andersson	Male	1949	1980 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		4		Sweden
Mauritz Andersson	Male	1886	1908 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Mauritz Andersson	Male	1886	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		AC r4/8		Sweden
Roland Andersson	Male	1944	1972 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		AC		Sweden
Roland Andersson	Male	1944	1972 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		AC		Sweden
Thure Andersson	Male	1907	1936 Summer Olympics	Wrestling	Welterweight, Freestyle, Men	Olympic		2	Silver	Sweden
Bertil Antonsson	Male	1921	1948 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		2	Silver	Sweden
Bertil Antonsson	Male	1921	1952 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		2	Silver	Sweden
Bertil Antonsson	Male	1921	1956 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		5		Sweden
Bertil Antonsson	Male	1921	1960 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		7		Sweden
Hans Antonsson	Male	1934	1960 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		3	Bronze	Sweden
