Cohort_Country	is_summer	G1_Country	G1_Year	G2_Country	G2_Year	Cohort_Size	G1_Medals	G1_Golds	G1_Silvers	G1_Bronzes	G1_Events	G2_Medals	G2_Golds	G2_Silvers	G2_Bronzes	G2_Events	G1_Mean_Age	G1_Mean_Age_Sq	Male_Ratio	Change_Medals_Per_Athlete	Change_Medals_Per_Event	Change_Golds_Per_Athlete	Change_Golds_Per_Event	Distance
Australia	0	Norway	1952	Italy	1956	2	0	0	0	0	6	0	0	0	0	7	19.5	380.25	1.0	0.0	0.0	0.0	0.0	
Australia	0	Italy	1956	United States	1960	3	0	0	0	0	10	0	0	0	0	8	23.0	529.0	0.6666666666666666	0.0	0.0	0.0	0.0	
Australia	0	United States	1960	Austria	1964	1	0	0	0	0	3	0	0	0	0	2	24.0	576.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	France	1968	Japan	1972	2	0	0	0	0	5	0	0	0	0	7	21.0	441.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	Japan	1972	Austria	1976	1	0	0	0	0	4	0	0	0	0	5	26.0	676.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	Austria	1976	United States	1980	2	0	0	0	0	8	0	0	0	0	5	25.0	625.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	United States	1980	Yugoslavia	1984	2	0	0	0	0	6	0	0	0	0	6	27.0	729.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	Yugoslavia	1984	Canada	1988	6	0	0	0	0	14	0	0	0	0	14	25.166666666666668	633.3611111111112	1.0	0.0	0.0	0.0	0.0	
Australia	0	Canada	1988	France	1992	4	0	0	0	0	9	0	0	0	0	12	22.5	506.25	1.0	0.0	0.0	0.0	0.0	
Australia	0	France	1992	Norway	1994	10	0	0	0	0	23	0	0	0	0	21	24.2	585.64	0.6	0.0	0.0	0.0	0.0	
Australia	0	Norway	1994	Japan	1998	7	0	0	0	0	14	1	0	0	1	12	23.714285714285715	562.3673469387755	0.42857142857142855	0.14285714285714285	0.08333333333333333	0.0	0.0	
Australia	0	Japan	1998	United States	2002	6	1	0	0	1	7	1	1	0	0	8	26.166666666666668	684.6944444444445	0.6666666666666666	0.0	-0.01785714285714285	0.16666666666666666	0.125	
Australia	0	United States	2002	Italy	2006	7	1	1	0	0	12	1	0	0	1	8	23.857142857142858	569.1632653061225	0.5714285714285714	0.0	0.04166666666666667	-0.14285714285714285	-0.08333333333333333	
Australia	0	Italy	2006	Canada	2010	12	1	1	0	0	13	3	2	1	0	14	25.083333333333332	629.1736111111111	0.4166666666666667	0.16666666666666666	0.13736263736263735	0.08333333333333333	0.06593406593406592	
Australia	0	Canada	2010	Russian Federation	2014	12	3	2	1	0	13	3	0	2	1	16	23.25	540.5625	0.5	0.0	-0.04326923076923078	-0.16666666666666666	-0.15384615384615385	
Australia	0	Russian Federation	2014	Republic of Korea	2018	29	2	0	1	1	39	3	0	2	1	37	23.551724137931036	554.6837098692034	0.6206896551724138	0.034482758620689655	0.029799029799029805	0.0	0.0	
Australia	1	Belgium	1920	France	1924	2	1	0	0	1	4	1	0	0	1	4	27.0	729.0	1.0	0.0	0.0	0.0	0.0	-6.0
Australia	1	France	1924	Netherlands	1928	2	3	2	0	1	4	2	0	2	0	4	23.5	552.25	1.0	-0.5	-0.25	-1.0	-0.5	-5.0
