Cohort_Country	is_summer	G1_Country	G1_Year	G2_Country	G2_Year	Cohort_Size	G1_Medals	G1_Golds	G1_Silvers	G1_Bronzes	G1_Events	G2_Medals	G2_Golds	G2_Silvers	G2_Bronzes	G2_Events	G1_Mean_Age	G1_Mean_Age_Sq	Male_Ratio	Change_Medals_Per_Athlete	Change_Medals_Per_Event	Change_Golds_Per_Athlete	Change_Golds_Per_Event	Distance
Australia	0	Norway	1952	Italy	1956	2	0	0	0	0	6	0	0	0	0	7	19.5	380.25	1.0	0.0	0.0	0.0	0.0	
Australia	0	Italy	1956	United States	1960	3	0	0	0	0	10	0	0	0	0	8	23.0	529.0	0.6666666666666666	0.0	0.0	0.0	0.0	
Australia	0	United States	1960	Austria	1964	1	0	0	0	0	3	0	0	0	0	2	24.0	576.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	France	1968	Japan	1972	2	0	0	0	0	5	0	0	0	0	7	21.0	441.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	Japan	1972	Austria	1976	1	0	0	0	0	4	0	0	0	0	5	26.0	676.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	Austria	1976	United States	1980	2	0	0	0	0	8	0	0	0	0	5	25.0	625.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	United States	1980	Yugoslavia	1984	2	0	0	0	0	6	0	0	0	0	6	27.0	729.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	Yugoslavia	1984	Canada	1988	5	0	0	0	0	13	0	0	0	0	13	26.4	696.9599999999999	1.0	0.0	0.0	0.0	0.0	
Australia	0	Canada	1988	France	1992	3	0	0	0	0	8	0	0	0	0	11	22.333333333333332	498.7777777777777	1.0	0.0	0.0	0.0	0.0	
Australia	0	France	1992	Norway	1994	8	0	0	0	0	21	0	0	0	0	19	25.625	656.640625	0.5	0.0	0.0	0.0	0.0	
Australia	0	Norway	1994	Japan	1998	4	0	0	0	0	11	1	0	0	1	9	24.5	600.25	0.5	0.25	0.1111111111111111	0.0	0.0	
Australia	0	Japan	1998	United States	2002	3	1	0	0	1	4	1	1	0	0	5	25.333333333333332	641.7777777777777	0.6666666666666666	0.0	-0.04999999999999999	0.3333333333333333	0.2	
Australia	0	United States	2002	Italy	2006	4	0	0	0	0	9	0	0	0	0	5	23.5	552.25	1.0	0.0	0.0	0.0	0.0	
Australia	0	Italy	2006	Canada	2010	5	0	0	0	0	6	0	0	0	0	7	26.4	696.9599999999999	0.6	0.0	0.0	0.0	0.0	
Australia	0	Canada	2010	Russian Federation	2014	5	0	0	0	0	6	0	0	0	0	6	23.6	556.96	0.6	0.0	0.0	0.0	0.0	
Australia	0	Russian Federation	2014	Republic of Korea	2018	15	0	0	0	0	24	1	0	1	0	23	23.266666666666666	541.3377777777778	0.6666666666666666	0.06666666666666667	0.043478260869565216	0.0	0.0	
Australia	1	Belgium	1920	France	1924	2	1	0	0	1	4	1	0	0	1	4	27.0	729.0	1.0	0.0	0.0	0.0	0.0	-6.0
Australia	1	France	1924	Netherlands	1928	2	3	2	0	1	4	2	0	2	0	4	23.5	552.25	1.0	-0.5	-0.25	-1.0	-0.5	-5.0
Australia	1	Netherlands	1928	United States	1932	4	4	1	2	1	6	3	2	1	0	5	20.5	420.25	0.75	-0.25	-0.06666666666666665	0.25	0.23333333333333336	-4.0
