Cohort_Country	is_summer	G1_Country	G1_Year	G2_Country	G2_Year	Cohort_Size	G1_Medals	G1_Golds	G1_Silvers	G1_Bronzes	G1_Events	G2_Medals	G2_Golds	G2_Silvers	G2_Bronzes	G2_Events	G1_Mean_Age	G1_Mean_Age_Sq	Male_Ratio	Change_Medals_Per_Athlete	Change_Medals_Per_Event	Change_Golds_Per_Athlete	Change_Golds_Per_Event	Distance
Australia	0	Yugoslavia	1984	Canada	1988	1	0	0	0	0	1	0	0	0	0	1	19.0	361.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	Canada	1988	France	1992	1	0	0	0	0	1	0	0	0	0	1	23.0	529.0	1.0	0.0	0.0	0.0	0.0	
Australia	0	France	1992	Norway	1994	2	0	0	0	0	2	0	0	0	0	2	18.5	342.25	1.0	0.0	0.0	0.0	0.0	
Australia	0	Norway	1994	Japan	1998	3	0	0	0	0	3	0	0	0	0	3	22.666666666666668	513.7777777777778	0.3333333333333333	0.0	0.0	0.0	0.0	
Australia	0	Japan	1998	United States	2002	3	0	0	0	0	3	0	0	0	0	3	27.0	729.0	0.6666666666666666	0.0	0.0	0.0	0.0	
Australia	0	United States	2002	Italy	2006	3	1	1	0	0	3	1	0	0	1	3	24.333333333333332	592.1111111111111	0.0	0.0	0.0	-0.3333333333333333	-0.3333333333333333	
Australia	0	Italy	2006	Canada	2010	7	1	1	0	0	7	3	2	1	0	7	24.142857142857142	582.8775510204082	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.14285714285714285	0.14285714285714285	
Australia	0	Canada	2010	Russian Federation	2014	7	3	2	1	0	7	3	0	2	1	9	23.0	529.0	0.42857142857142855	0.0	-0.09523809523809523	-0.2857142857142857	-0.2857142857142857	
Australia	0	Russian Federation	2014	Republic of Korea	2018	14	2	0	1	1	15	2	0	1	1	14	23.857142857142858	569.1632653061225	0.5714285714285714	0.0	0.009523809523809518	0.0	0.0	
Australia	1	United States	1932	Germany	1936	1	1	0	0	1	1	0	0	0	0	1	24.0	576.0	1.0	-1.0	-1.0	0.0	0.0	-3.0
Australia	1	Germany	1936	Great Britain	1948	1	0	0	0	0	1	1	0	1	0	1	26.0	676.0	1.0	1.0	1.0	0.0	0.0	-2.0
Australia	1	Great Britain	1948	Finland	1952	2	1	0	1	0	2	0	0	0	0	2	28.5	812.25	1.0	-0.5	-0.5	0.0	0.0	-1.0
Australia	1	Finland	1952	Australia	1956	3	0	0	0	0	3	0	0	0	0	3	20.0	400.0	1.0	0.0	0.0	0.0	0.0	0.0
Australia	1	Australia	1956	Italy	1960	4	0	0	0	0	10	1	0	0	1	10	27.0	729.0	1.0	0.25	0.1	0.0	0.0	1.0
Australia	1	Italy	1960	Japan	1964	5	0	0	0	0	21	0	0	0	0	21	23.0	529.0	0.8	0.0	0.0	0.0	0.0	2.0
Australia	1	Japan	1964	Mexico	1968	2	0	0	0	0	6	0	0	0	0	6	23.0	529.0	0.5	0.0	0.0	0.0	0.0	3.0
Australia	1	Mexico	1968	West Germany	1972	1	0	0	0	0	1	0	0	0	0	1	18.0	324.0	1.0	0.0	0.0	0.0	0.0	4.0
Australia	1	West Germany	1972	Canada	1976	3	0	0	0	0	9	0	0	0	0	9	23.333333333333332	544.4444444444443	1.0	0.0	0.0	0.0	0.0	5.0
Australia	1	Canada	1976	Soviet Union	1980	1	0	0	0	0	1	0	0	0	0	1	22.0	484.0	1.0	0.0	0.0	0.0	0.0	-5.0
Australia	1	Soviet Union	1980	United States	1984	3	0	0	0	0	3	0	0	0	0	3	21.666666666666668	469.4444444444445	1.0	0.0	0.0	0.0	0.0	-4.0
Australia	1	United States	1984	Republic of Korea	1988	1	0	0	0	0	1	0	0	0	0	1	21.0	441.0	1.0	0.0	0.0	0.0	0.0	-3.0
Australia	1	Republic of Korea	1988	Spain	1992	3	0	0	0	0	7	0	0	0	0	7	20.0	400.0	0.3333333333333333	0.0	0.0	0.0	0.0	-2.0
Australia	1	Spain	1992	United States	1996	6	0	0	0	0	12	0	0	0	0	12	23.0	529.0	0.8333333333333334	0.0	0.0	0.0	0.0	-1.0
Australia	1	United States	1996	Australia	2000	7	0	0	0	0	11	0	0	0	0	11	22.285714285714285	496.65306122448976	0.7142857142857143	0.0	0.0	0.0	0.0	0.0
Australia	1	Australia	2000	Greece	2004	11	2	0	1	1	25	0	0	0	0	20	22.636363636363637	512.404958677686	0.5454545454545454	-0.18181818181818182	-0.08	0.0	0.0	1.0
Australia	1	Greece	2004	People's Republic of China	2008	8	0	0	0	0	8	0	0	0	0	8	27.25	742.5625	0.625	0.0	0.0	0.0	0.0	2.0
Australia	1	People's Republic of China	2008	Great Britain	2012	6	0	0	0	0	14	0	0	0	0	11	20.666666666666668	427.11111111111114	0.3333333333333333	0.0	0.0	0.0	0.0	3.0
Australia	1	Great Britain	2012	Brazil	2016	4	0	0	0	0	5	0	0	0	0	5	23.25	540.5625	0.5	0.0	0.0	0.0	0.0	4.0
Austria	0	France	1924	Switzerland	1928	1	1	0	1	0	1	1	0	1	0	1	31.0	961.0	1.0	0.0	0.0	0.0	0.0	-7.0
Austria	0	Switzerland	1928	United States	1932	4	1	0	1	0	4	2	1	1	0	6	20.75	430.5625	0.75	0.25	0.08333333333333331	0.25	0.16666666666666666	-6.0
Austria	0	United States	1932	Germany	1936	1	1	1	0	0	1	1	1	0	0	1	23.0	529.0	1.0	0.0	0.0	0.0	0.0	-5.0
Austria	0	Germany	1936	Switzerland	1948	1	0	0	0	0	1	0	0	0	0	1	15.0	225.0	1.0	0.0	0.0	0.0	0.0	-4.0
Austria	0	Switzerland	1948	Norway	1952	1	0	0	0	0	1	1	0	1	0	1	19.0	361.0	1.0	1.0	1.0	0.0	0.0	-3.0
Austria	0	Norway	1952	Italy	1956	3	0	0	0	0	3	0	0	0	0	3	26.0	676.0	1.0	0.0	0.0	0.0	0.0	-2.0
Austria	0	Italy	1956	United States	1960	3	0	0	0	0	3	1	0	0	1	3	20.333333333333332	413.4444444444444	1.0	0.3333333333333333	0.3333333333333333	0.0	0.0	-1.0
Austria	0	United States	1960	Austria	1964	4	1	0	0	1	4	1	0	1	0	6	21.75	473.0625	0.75	0.0	-0.08333333333333334	0.0	0.0	0.0
Austria	0	Austria	1964	France	1968	5	0	0	0	0	7	2	1	0	1	7	22.8	519.84	1.0	0.4	0.2857142857142857	0.2	0.14285714285714285	1.0
Austria	0	France	1968	Japan	1972	5	1	0	1	0	7	1	1	0	0	7	22.0	484.0	0.8	0.0	0.0	0.2	0.14285714285714285	-1.0
Austria	0	Japan	1972	Austria	1976	2	0	0	0	0	4	0	0	0	0	3	24.5	600.25	1.0	0.0	0.0	0.0	0.0	0.0
